User,Bot,formatted
is there evidence of a right apical pneumothorax on this chest x-ray?,yes,"User: is there evidence of a right apical pneumothorax on this chest x-ray? 
Bot: yes
"
is there evidence of mesenteric lymphadenopathy?,yes,"User: is there evidence of mesenteric lymphadenopathy? 
Bot: yes
"
where is the abnormality in this image?,left kidney,"User: where is the abnormality in this image? 
Bot: left kidney
"
is there evidence of metastatic tissue on organs surrounding the liver?,no,"User: is there evidence of metastatic tissue on organs surrounding the liver? 
Bot: no
"
where is the pathology located?,right convexity,"User: where is the pathology located? 
Bot: right convexity
"
is the mediastinum widened?,yes,"User: is the mediastinum widened? 
Bot: yes
"
is a fracture present?,no,"User: is a fracture present? 
Bot: no
"
what does the brighter outer ring of the lesion represent?,necrosis,"User: what does the brighter outer ring of the lesion represent? 
Bot: necrosis
"
is a skull fracture present?,no,"User: is a skull fracture present? 
Bot: no
"
is this film taken ap?,no,"User: is this film taken ap? 
Bot: no
"
is the width of the abdominal aorta within normal limits?,no,"User: is the width of the abdominal aorta within normal limits? 
Bot: no
"
what is the modality of this mri?,t2,"User: what is the modality of this mri? 
Bot: t2
"
what is wrong in this image?,right paratracheal mass lesion,"User: what is wrong in this image? 
Bot: right paratracheal mass lesion
"
did the patient have a cholecystectomy?,yes,"User: did the patient have a cholecystectomy? 
Bot: yes
"
where is the mass?,pancreas,"User: where is the mass? 
Bot: pancreas
"
is there a bowel obstrution,yes,"User: is there a bowel obstrution 
Bot: yes
"
what causes hyper intensity in aorta?,atherosclerotic calcification,"User: what causes hyper intensity in aorta? 
Bot: atherosclerotic calcification
"
is the right lung normal in size?,no,"User: is the right lung normal in size? 
Bot: no
"
how many kidneys are in this image?,2,"User: how many kidneys are in this image? 
Bot: 2
"
is the bowel perforated?,no,"User: is the bowel perforated? 
Bot: no
"
what causes the hyperintensity?,ischemia,"User: what causes the hyperintensity? 
Bot: ischemia
"
was this taken in pa position?,yes,"User: was this taken in pa position? 
Bot: yes
"
which side of the cardiac border is more prominent?,left,"User: which side of the cardiac border is more prominent? 
Bot: left
"
what are the hyperattenuations located around the patient?,ribs,"User: what are the hyperattenuations located around the patient? 
Bot: ribs
"
is fat stranding depicted in this image?,no,"User: is fat stranding depicted in this image? 
Bot: no
"
is there evidence of intussusception on the right side?,no,"User: is there evidence of intussusception on the right side? 
Bot: no
"
was contrast applied?,no,"User: was contrast applied? 
Bot: no
"
what is the plane?,axial,"User: what is the plane? 
Bot: axial
"
are the common iliac vasculature open?,yes,"User: are the common iliac vasculature open? 
Bot: yes
"
how is the csf enhancement characterized?,non-enhanced,"User: how is the csf enhancement characterized? 
Bot: non-enhanced
"
what test or procedure might reveal the diagnosis?,head/neck ct,"User: what test or procedure might reveal the diagnosis? 
Bot: head/neck ct
"
is this image taken from the top slice of the brain?,no,"User: is this image taken from the top slice of the brain? 
Bot: no
"
is the trachea deviated?,yes,"User: is the trachea deviated? 
Bot: yes
"
what pathology is seen in this image?,right subdural hematoma,"User: what pathology is seen in this image? 
Bot: right subdural hematoma
"
is there intraperitoneal hemorrhage present in this image?,yes,"User: is there intraperitoneal hemorrhage present in this image? 
Bot: yes
"
where is the mass?,suprasellar cistern,"User: where is the mass? 
Bot: suprasellar cistern
"
what structure in the left basal ganglia is spared?,left thalamus,"User: what structure in the left basal ganglia is spared? 
Bot: left thalamus
"
is this mri with contrast or without contrast?,with contrast,"User: is this mri with contrast or without contrast? 
Bot: with contrast
"
are the ventricles enlarged?,no,"User: are the ventricles enlarged? 
Bot: no
"
is the image above oriented in the axial plane?,yes,"User: is the image above oriented in the axial plane? 
Bot: yes
"
is there evidence of cytotoxic edema in the right temporal lobe?,yes,"User: is there evidence of cytotoxic edema in the right temporal lobe? 
Bot: yes
"
are the soft tissue densities in the left hilum equivalent in size to the soft tissue densities in the right hilum?,no,"User: are the soft tissue densities in the left hilum equivalent in size to the soft tissue densities in the right hilum? 
Bot: no
"
is the patient's heart enlarged?,no,"User: is the patient's heart enlarged? 
Bot: no
"
does the heart look enlarged?,no,"User: does the heart look enlarged? 
Bot: no
"
what imaging modality is seen here?,ct,"User: what imaging modality is seen here? 
Bot: ct
"
this image is concerning for what lung pathology?,pneumonia,"User: this image is concerning for what lung pathology? 
Bot: pneumonia
"
does the left temporal lobe appear normal?,no,"User: does the left temporal lobe appear normal? 
Bot: no
"
does the heart border appear normal?,yes,"User: does the heart border appear normal? 
Bot: yes
"
what does nodular liver suggest?,cirrhosis,"User: what does nodular liver suggest? 
Bot: cirrhosis
"
what type of image is this?,mri-flair,"User: what type of image is this? 
Bot: mri-flair
"
is there inflammation?,yes,"User: is there inflammation? 
Bot: yes
"
is the hila normal or enlarged?,enlarged,"User: is the hila normal or enlarged? 
Bot: enlarged
"
is the csf enhanced or non enhanced?,non-enhanced,"User: is the csf enhanced or non enhanced? 
Bot: non-enhanced
"
what are the anterior circular hyperdensities?,intestine,"User: what are the anterior circular hyperdensities? 
Bot: intestine
"
is pericholecystic inflammation present?,yes,"User: is pericholecystic inflammation present? 
Bot: yes
"
are gallstones present?,yes,"User: are gallstones present? 
Bot: yes
"
is there any inappropriate air collection in subcutaneous tissue?,no,"User: is there any inappropriate air collection in subcutaneous tissue? 
Bot: no
"
what is the abnormality?,right paratracheal mass lesion,"User: what is the abnormality? 
Bot: right paratracheal mass lesion
"
where is the brain lesion located?,right frontal lobe,"User: where is the brain lesion located? 
Bot: right frontal lobe
"
is the pathology seen hyperintense or hypointense in nature?,hyperintense,"User: is the pathology seen hyperintense or hypointense in nature? 
Bot: hyperintense
"
the internal gas and enhancing rim suggests what type of lesion?,abcess,"User: the internal gas and enhancing rim suggests what type of lesion? 
Bot: abcess
"
what do the hyperdensities in the aorta suggest?,calcification,"User: what do the hyperdensities in the aorta suggest? 
Bot: calcification
"
does this image show midline shift?,yes,"User: does this image show midline shift? 
Bot: yes
"
does this chest x-ray show signs of diffuse opacities in both right and left lung fields?,yes,"User: does this chest x-ray show signs of diffuse opacities in both right and left lung fields? 
Bot: yes
"
are the clavicles broken?,no,"User: are the clavicles broken? 
Bot: no
"
what is the section level of this image?,mid abdomen,"User: what is the section level of this image? 
Bot: mid abdomen
"
